JLPTレベル,Question,Answers,Comment
N5,"<h2>〜てはいけない</h2>この川で泳い<strong>ではいけません</strong>。
授業中に携帯電話を使っ<strong>てはいけません</strong>。
図書館でうるさくし<strong>てはいけません</strong>。
この美術館では絵に触っ<strong>てはいけません</strong>。
ここでタバコを吸っ<strong>てはいけませんよ</strong>。
２０歳未満の人はお酒を飲んだり、タバコを吸っ<strong>てはいけません</strong>。
廊下を走っ<strong>てはいけませんよ</strong>。
これは笑っ<strong>てはいけない</strong>ゲームです。
この学校では髪を染め<strong>てはいけません</strong>。
この学校ではスカートを短くし<strong>てはいけません</strong>。",,"<h2>〜てはいけない</h2><strong>[意味]</strong>
禁止や規制を表す。
<strong>[接続]</strong>
V(て形) + はいけない。
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
話し言葉は「ちゃいけない」や「じゃいけない」となる。"
N5,"<h2>〜てもいいですか</h2>ちょっと寒いので、エアコンを消し<strong>てもいいですか</strong>。
部屋が少し暗いので、電気をつけ<strong>てもいいですか</strong>。
先生、すみません。トイレに行っ<b>て</b><strong>もいいですか</strong>。
（友達の家で）あ、これトムさんの卒業アルバム？ちょっと、見<strong>ても</strong><strong>いい</strong>？
（電話で）先生、熱があるんです。今日、休ん<strong>でもいいですか</strong>。
先生、テストの時、辞書を使っ<strong>てもいいですか</strong>。
すみません。消しゴムを忘れてしまったので、ちょっと借り<strong>てもいいですか</strong>。
今日、妻の誕生日なので早めに帰っ<strong>てもいいですか</strong>。
このコピー機は学生が使っ<strong>てもいいですか</strong>。
ここに座っ<strong>てもいいですか</strong>。
もう帰っ<strong>てもいいですか</strong>。
この服、試着してみ<strong>てもいいですか</strong>。",,"<h2>〜てもいいですか</h2><strong>[意味]</strong>
許可を求める時に使う表現
<strong>[接続]</strong>
<div>V(て形) + てもいいですか<br><br></div><div>のむ →　のんでもいいですか<br>たべる → たべてもいいですか<br>みる → みてもいいですか</div>
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>どうやって</h2>駅まで<strong>どうやって</strong>行きますか。
これは<strong>どうやって</strong>使いますか。
これは<strong>どうやって</strong>食べますか。
すみません、<strong>どうやって</strong>切符を買いますか。
トムさんは毎日<strong>どうやって</strong>学校へ来ますか。
この文型、田中先生なら<strong>どうやって</strong>教えますか。
昨日はとても酔っ払っていましたが、<strong>どうやって</strong>帰ったんですが？
<strong>どうやって</strong>お金をおろしたらいいですか。
先生、<strong>どうやって</strong>漢字を覚えたらいいですか。
<strong>どうやって</strong>日本語を勉強しましたか。",,"<h2>どうやって</h2><strong>[意味]</strong>
方法を尋ねる表現。
<strong>[接続]</strong><strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜と思う</h2>今日は午後から雨が降る<strong>と思います</strong>。
トムさんはあとで来る<strong>と思います</strong>。
たぶん、キムさんは納豆が嫌いだ<strong>と思います</strong>。
ジェシカさんには彼氏がいる<strong>と思います</strong>。
来年は海外留学している<strong>と思います</strong>。
食べ過ぎは体によくない<strong>と思います</strong>。
まだ熱い<strong>と思う</strong>から、気をつけて食べて。
この人は若い<strong>と思いますか</strong>。
このキャラクタ〜は有名だ<strong>と思っていた</strong>んですが、知らないんですか。
日本のコンビニは私の国のコンビニより便利だ<strong>と思います</strong>。
ジェームさんは彼女ができて、幸せだ<strong>と思います</strong>。
この人は何歳だ<strong>と思いますか</strong>。
僕の彼女はどんな人だ<strong>と思いますか</strong>、
",,"<h2>〜と思う</h2><strong>[意味]</strong>
意見を述べたり、推測したことを述べる表現。
<strong>[接続]</strong>
V（普通形） + と思う<br>イA（普通形） + と思う<br>ナA（普通形） + と思う<br>N（普通形） + と思う
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>とても</h2>この本、<strong>とても</strong>面白いですよ。
毎日<strong>とても</strong>忙しいです。
２月は<strong>とても</strong>寒いです。
彼は<strong>とても</strong>よく働きます。
この料理、<strong>とても</strong>辛いですね。
このカバンは<strong>とても</strong>高くて、買うことができません。
昨日見た映画は<strong>とても</strong>面白かった。
桜は<strong>とても</strong>きれいですね。
アンナさんが作った料理は<strong>とても</strong>美味しいです。",,"<h2>とても</h2><strong>[意味]</strong>
程度が大きいことを表す。
<strong>[接続]</strong><strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
強調した言い方やカジュアルな言い方として「とっても」も使われる。"
N5,"<h2>どんな</h2>マレーシアは<strong>どんな</strong>国ですか。
バンコクは<strong>どんな</strong>街ですか。
納豆は<strong>どんな</strong>食べ物ですか。
メアリーさんのお父さんは<strong>どんな</strong>人ですか。
キムさんは<strong>どんな</strong>人は好きですか。
トムさんは<strong>どんな</strong>車が欲しいの？
マイケルさんのお父さんは<strong>どんな</strong>人ですか？
A：ジェームスさんは今何が欲しいですか。<br>B：パソコンが欲しいです。<br>A：<strong>どんな</strong>パソコンが欲しいですか。<br>B：Macが欲しいです。",,"<h2>どんな</h2><strong>[意味]</strong>
人や物、場所の特徴について尋ねる文型
<strong>[接続]</strong>
どんな + N
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>〜たい</h2>夏休みは海に行き<strong>たいです</strong>。
今夜はラーメンが食べ<strong>たいです</strong>。
日本語をもっと勉強し<strong>たいです</strong>。
週末は映画をみ<strong>たいです</strong>。
早く結婚し<strong>たい</strong>。
あ〜、早く家に帰り<strong>たい</strong>。
国の家族に会い<strong>たいです</strong>。
韓国語も勉強し<strong>たいです</strong>。
今日は家で休み<strong>たいです</strong>。
将来は日本の会社で働き<strong>たいです</strong>。
今日はどこへも行き<strong>たくないです</strong>。
ホラー映画は苦手ですから、見<strong>たくないです</strong>。
お金がたくさんあったら、何をし<strong>たいですか</strong>。
",,"<h2>〜たい</h2><strong>[意味]</strong>
行為の欲求や希望などを表す文型。
<strong>[接続]</strong>
V(ます形)ます&nbsp;+ たい
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
<strong>第三人称（彼、彼女など）のしたいことを言う時は、この文型は使えない。</strong><br>目上の人に「〜たいですか」は使えない（使うと失礼）。<br>い形容詞と同じように活用する。<br>→ 行きたいです / 行きたくないです / 行きたかったです / 行きたくなかったです"
N5,"<h2>〜たり〜たり</h2>土曜日は買い物し<strong>たり</strong>、映画を見<strong>たり</strong>しました。
休みの日は、たいてい家でYouTubeを見<strong>たり</strong>、音楽を聞い<strong>たり</strong>しています。
今度の夏休みは、花火を見<strong>たり</strong>、海へ泳ぎにいっ<strong>たり</strong>するつもりです。
学校生活は遠足があっ<strong>たり</strong>、体育祭があっ<strong>たり</strong>して、楽しかった。
留学中に現地の料理を食べ<strong>たり</strong>、旅行し<strong>たり</strong>しました。
今日は宿題をし<strong>たり</strong>、部屋の掃除をし<strong>たり</strong>、忙しいです。
カフェには勉強する人がい<strong>たり</strong>、仕事をする人がい<strong>たり</strong>、色々な人がいます。
私は外国人の人と交流し<strong>たり</strong>、外国語を学ぶのが好きです。
宿題をし<strong>たり</strong>、手紙を書い<strong>たり</strong>、今日はとても忙しかった。
見<strong>たり</strong>、聞い<strong>たり</strong>して感じたことを話してください。",,"<h2>〜たり〜たり</h2><strong>[意味]</strong>
複数ある事柄の中から代表的なものを２、３挙げて言う表現。
<strong>[接続]</strong>
V1（タ形）+ り +&nbsp; V2 （タ形）+ り
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
「たり」１つでも使うことができる。"
N5,"<h2>〜とき</h2>ご飯を食べる<strong>とき</strong>、「いただきます」といいます。
寝る<strong>とき</strong>、私は電気を消しません。
コーヒーを飲む<strong>とき</strong>、砂糖を入れますか。
わらかない<strong>とき</strong>は、早く先生にききましょう。
時間がない<strong>とき</strong>は、朝ごはんを食べません。
来られない<strong>とき</strong>は、連絡してくださいね。
ご飯を食べた<strong>とき</strong>、「ごちそうさま」といいます。
地震が起きた<strong>とき</strong>、まずは机の下に隠れましょう。
風邪を引いた<strong>とき</strong>、薬を飲んで早く寝ます。
若い<strong>とき</strong>、友達とよくカラオケに行きました。
眠い<strong>とき</strong>、いつもコーヒーを飲みます。
寂しい<strong>とき</strong>、Skypeで家族と話します。
暇な<strong>とき</strong>、たいていゲームをします。
子供の<strong>とき</strong>、私は野菜が大嫌いでした。
中学生の<strong>とき</strong>、よく家族と旅行しました。",,"<h2>〜とき</h2><strong>[意味]</strong>
<div>「AときB」Bの状態、動作の時間をAで表す時に使われる。<br><br></div><div>「AときB」のAの動詞（V1）の時制は、主文の時制つまり「AときB」のBの動詞の時制（V2）とは関係がない。そのため、英語から日本語訳を考えると、使い方を間違える学生がいるので要注意である。<br><br></div><div>V1の時制の考え方はV2がV1より先に行われるか、後に行われるかで決まる。V1がV2より先に行われる場合、V1は過去形（タ形）、V2より後に行われる場合は、V1は現在形（辞書形）になる。<br><br></div><div><strong>(例)</strong><br>When I leave the classroom, I turn off the light<br>教室を<strong>出る</strong>とき、電気を消します。</div><div>When I enter the classroom, I turn on the light.<br>教室に<strong>入った</strong>時、電気をつけます。</div>
<strong>[接続]</strong>
V（普） + とき<br>イAい + とき<br>ナAな + とき<br>N + のとき
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
N5,"<h2>AないでB</h2>今朝、朝ごはんを<strong>食</strong><strong>べないで</strong>学校に来ました。
私は毎日、電気を<strong>消さ</strong><strong>ないで</strong>寝ます。
最近、涼しいので、エアコンを<strong>つけ</strong><strong>ないで</strong>寝ます。
傘を<strong>持たないで</strong>出かけます。
コーヒーに砂糖を<strong>入れないで</strong>飲みます。
宿題を<strong>しないで</strong>学校に行ったら怒られました。
昨日、お風呂に<strong>入</strong><strong>らないで</strong>寝てしまった。
友達にもらった本を<strong>読まないで</strong>売ってしまった。
明日は試験なので、今晩は<strong>寝ないで</strong>勉強します。
熱があったので、お風呂に<strong>入らないで</strong>寝ました。
体調が悪いときは、<strong>無理しないで</strong>休んでください。
わからないことがあったら、<strong>遠慮しないで</strong>聞いてください。
財布を<strong>持たないで</strong>来てしまった。
辞書を<strong>使わないで</strong>、一人でやりました。
朝寝坊して急いでいたので、<strong>歯磨きをしないで</strong>学校に来ちゃった。",,"<h2>AないでB</h2><strong>[意味]</strong>
Aをしない状態でBをする。
<strong>[接続]</strong>
<div>V(ない形) + ないで<br><br></div><div>のむ →　のまないで<br>たべる → たべないで<br>みる → みないで</div>
<strong>[JLPTレベル]</strong>
N5
<strong>[備考]</strong>
"
